Country,Cases,CasesPer100,Deaths,Deathsper100,TotalPopulation,Continent
Switzerland,368695,4329,5791,68,10230185,Europe
Syria,8675,51,465,3,8544527,Africa
Taiwan,724,3,7,1,17070132,Asia
Tajikistan,12588,138,88,1,23773881,Asia
Tanzania,509,1,21,1,9321023,Africa
Thailand,4169,6,60,1,69625581,Asia
Togo,3151,40,65,1,8082359,Africa
Trinidad and Tobago,6808,490,122,9,1394969,Africa
Tunisia,106856,924,3717,32,11694721,Africa
Turkey,925342,1124,15751,19,82003882,Asia
Turks and Caicos Islands,768,2039,6,16,38194,North America
Uganda,25059,59,219,1,44269587,Africa
Ukraine,881727,1976,14981,34,43993643,Europe
United Arab Emirates,181405,1884,602,6,9770526,Asia
United Kingdom,1787783,2689,63082,95,66647112,Europe
United States,15413913,4711,289970,89,329064917,North America
Uruguay,8104,235,87,3,3461731,South America
Uzbekistan,74498,226,611,2,32981715,Asia
Vanuatu,1,1,0,0,299882,Australasia
Venezuela,105852,367,933,3,28515829,South America
Vietnam,1385,1,35,1,96462108,Asia
West Bank + Gaza,104879,2295,910,20,4685306,Asia
Yemen,2079,7,606,2,29161922,Asia
Zambia,18091,104,364,2,17861034,Africa
Zimbabwe,11007,76,304,2,14645473,Africa
